Date,DIS,GE,GILD,GOOGL,KMI,OIL,T,TSLA,WMT
2011-10-07,31.700001,14.903846,19.655001,257.81781,26.34,26.34,28.440001,26.99,53.700001
2011-10-10,33,15.519231,20.325001,268.853851,26.870001,26.870001,29.17,27.879999,54.810001
2011-10-11,32.610001,15.519231,19.85,271.861847,26.85,26.85,28.77,27.610001,54.720001
2011-10-12,33.759998,15.769231,20.145,274.524536,26.9,26.9,28.99,27.799999,55.200001
2011-10-13,33.549999,15.596154,20.32,279.77478,26.92,26.92,29.1,27.940001,55.02
2011-10-14,34.470001,15.961538,20.215,296.136139,26.889999,26.889999,29.17,28.049999,55.459999
2011-10-17,33.389999,15.605769,19.93,291.49649,28.190001,28.190001,29.02,27.42,54.779999
2011-10-18,33.939999,16.067308,20.379999,295.550537,28.059999,28.059999,29.209999,28.34,55.889999
2011-10-19,33.610001,15.884615,20.4,290.640656,27.58,27.58,29.09,27.57,56.25
2011-10-20,33.84,15.990385,20.504999,292.127136,28.23,28.23,28.99,27.34,56.369999
2011-10-21,35.16,15.682693,20.735001,295.540527,29.219999,29.219999,29.129999,28.030001,56.919998
2011-10-24,35.369999,15.817307,20.995001,298.508514,29.98,29.98,28.879999,28.549999,56.779999
2011-10-25,34.509998,15.596154,20.530001,291.871857,30.110001,30.110001,28.41,28.25,56.709999
2011-10-26,35.049999,15.721154,20.745001,293.448456,29.66,29.66,28.75,27.98,57.369999
2011-10-27,36.279999,16.701923,21.055,299.634644,29.440001,29.440001,29.469999,28.76,57.810001
2011-10-28,36.209999,16.586538,21.395,300.370361,29.1,29.1,29.74,29.870001,57.150002
2011-10-31,34.880001,16.067308,20.83,296.616608,28.6,28.6,29.309999,29.370001,56.720001
2011-11-01,33.599998,15.403846,20.525,289.614624,27.82,27.82,28.700001,28.879999,56.23
2011-11-02,34.07,15.625,20.514999,292.702698,28.059999,28.059999,29.08,28.709999,56.860001
2011-11-03,35.029999,16.028847,20.465,299.049042,28.17,28.17,29.440001,32.459999,57.419998
2011-11-04,34.759998,15.759615,20.360001,298.368378,28.309999,28.309999,29.16,32.310001,57.5
2011-11-07,35.150002,15.759615,20.540001,304.469482,27.959999,27.959999,29.440001,31.27,57.939999
2011-11-08,35.290001,15.846154,20.610001,306.476471,28.15,28.15,29.459999,31.84,59.32
2011-11-09,33.790001,15.240385,19.934999,300.775787,27.030001,27.030001,28.91,30.879999,58.049999
2011-11-10,34.639999,15.442307,20.08,297.83783,27.43,27.43,29.16,31.33,58.130001
2011-11-11,36.700001,15.673077,20.540001,304.479492,27.57,27.57,29.42,33.639999,59.200001
2011-11-14,36.119999,15.480769,20.23,306.806793,27.73,27.73,29.190001,33.220001,58.889999
2011-11-15,36.450001,15.576923,20.334999,308.588593,27.959999,27.959999,29.25,33.93,57.459999
2011-11-16,35.529999,15.336538,20.09,306.041046,27.77,27.77,28.780001,34.939999,56.68
2011-11-17,35.150002,15.038462,19.805,300.735748,28.32,28.32,28.610001,33.68,56.73
2011-11-18,35.630001,15.048077,19.940001,297.737732,28.25,28.25,28.639999,32.599998,57.23
2011-11-21,34.330002,14.653846,18.129999,290.760773,28.59,28.59,28.360001,31.76,56.66
2011-11-22,34.02,14.413462,19.379999,290.290283,28.610001,28.610001,28.08,32.07,56.849998
2011-11-23,33.400002,14.163462,19.82,285.340332,28.02,28.02,27.549999,31.450001,56.639999
2011-11-25,33.509998,14.134615,19.639999,281.781769,29,29,27.41,31.66,56.889999
2011-11-28,34.07,14.230769,19.9,294.389404,28.799999,28.799999,27.950001,32.560001,57.25
2011-11-29,34,14.346154,19.635,291.756744,29.540001,29.540001,28.059999,31.75,58.169998
2011-11-30,35.849998,15.298077,19.924999,299.994995,29.5,29.5,28.98,32.740002,58.900002
2011-12-01,35.990002,15.298077,19.834999,307.1922,30.26,30.26,28.84,32.599998,58.610001
2011-12-02,36.610001,15.471154,19.700001,310.490479,31,31,28.959999,33.299999,58.09
2011-12-05,36.939999,15.701923,20.075001,313.138153,30.91,30.91,29.15,34.419998,58.34
2011-12-06,36.830002,16.076923,19.9,312.197205,30.860001,30.860001,29.17,34.869999,58.779999
2011-12-07,37.099998,16.096153,19.709999,312.007019,30.42,30.42,29.4,34.189999,58.509998
2011-12-08,35.919998,15.682693,19.365,308.333344,29.549999,29.549999,28.860001,30.889999,57.98
2011-12-09,36.560001,16.192308,19.504999,314.024017,29.6,29.6,29.030001,31.040001,58.32
2011-12-12,36.650002,15.826923,19.504999,313.007996,29.49,29.49,29.01,30.41,58.09
2011-12-13,36.330002,15.788462,19.295,313.128143,29.200001,29.200001,29.040001,29.450001,57.599998
2011-12-14,35.16,15.971154,19.379999,309.34433,29.09,29.09,28.809999,28.530001,57.650002
2011-12-15,35.189999,16.14423,19.245001,310.080078,28.83,28.83,28.790001,28.620001,57.950001
2011-12-16,35.32,16.35577,18.58,313.293304,29.84,29.84,28.85,28,58.27
2011-12-19,34.75,16.211538,18.735001,311.226227,29.790001,29.790001,28.74,27.75,57.779999
2011-12-20,36.169998,16.615385,19.08,315.500488,30.139999,30.139999,29.120001,27.9,59.189999
2011-12-21,36.27,17.009615,19.424999,313.223236,30.709999,30.709999,29.299999,27.57,59.389999
2011-12-22,36.950001,17.35577,19.35,315.165161,30.950001,30.950001,29.66,27.77,59.189999
2011-12-23,37.700001,17.528847,19.645,316.886902,31.370001,31.370001,29.870001,27.9,59.990002
2011-12-27,37.610001,17.317308,19.940001,320.445435,31.74,31.74,30.040001,28.57,59.830002
2011-12-28,37.240002,17.14423,19.945,320.170166,31.290001,31.290001,29.950001,28.51,59.73
2011-12-29,37.709999,17.375,20.280001,321.521515,31.559999,31.559999,30.17,28.73,59.990002
2011-12-30,37.5,17.221153,20.465,323.273285,32.169998,32.169998,30.24,28.559999,59.759998
2012-01-03,38.310001,17.653847,20.93,333.038025,32.490002,32.490002,30.379999,28.08,60.330002
2012-01-04,38.849998,17.846153,21.01,334.474487,32.490002,32.490002,30.43,27.709999,59.709999
2012-01-05,39.5,17.836538,21.26,329.834839,32.650002,32.650002,30.4,27.120001,59.419998
2012-01-06,39.91,17.932692,21.389999,325.335327,32.889999,32.889999,29.68,26.91,59
2012-01-09,39.75,18.134615,21.365,311.541534,32.810001,32.810001,29.66,27.25,59.18
2012-01-10,39.630001,18,22.125,311.881897,33.18,33.18,29.76,27.620001,59.040001
2012-01-11,38.700001,18.153847,22.200001,313.293304,33.389999,33.389999,29.99,28.23,59.400002
2012-01-12,38.73,18.201923,22.450001,315.135132,33.080002,33.080002,30.120001,28.25,59.5
2012-01-13,38.400002,18.115385,22.445,312.8078,32.860001,32.860001,30.07,22.790001,59.540001
2012-01-17,38.48,18.01923,23.129999,314.604614,33.07,33.07,30.25,26.6,59.849998
2012-01-18,39.02,18.288462,23.754999,316.771759,32.830002,32.830002,30.33,26.809999,60.009998
2012-01-19,39.439999,18.413462,23.605,320.105103,33.029999,33.029999,30.42,26.76,60.610001
2012-01-20,39.310001,18.413462,23.719999,293.2883,32.77,32.77,30.51,26.6,61.009998
2012-01-23,39.25,18.211538,23.684999,293.05304,32.810001,32.810001,30.4,26.77,60.91
2012-01-24,39.25,18.115385,23.834999,290.755768,32.68,32.68,30.09,27.42,61.389999
2012-01-25,39.560001,18.39423,24.145,285.030029,33.23,33.23,30.209999,27.969999,61.470001
2012-01-26,39.349998,18.336538,24.295,284.33432,32.84,32.84,29.450001,28.940001,60.970001
2012-01-27,39.25,18.298077,24.360001,290.280273,32.380001,32.380001,29.16,29.33,60.709999
2012-01-30,38.990002,18.173077,24.325001,289.134125,32.240002,32.240002,29.34,29.57,61.299999
2012-01-31,38.900002,17.990385,24.43,290.345337,32.470001,32.470001,29.41,29.07,61.360001
2012-02-01,39.330002,18.048077,24.575001,290.705719,32.330002,32.330002,29.6,29.58,62.18
2012-02-02,38.91,18.028847,24.655001,292.847839,32.18,32.18,29.790001,30.25,61.939999
2012-02-03,40,18.288462,27.35,298.46347,31.92,31.92,29.950001,31.15,62.029999
2012-02-06,40.459999,18.317308,28.014999,304.849854,32.259998,32.259998,29.969999,31.799999,61.880001
2012-02-07,40.98,18.442308,27.540001,303.68869,31.84,31.84,30.040001,31.6,61.689999
2012-02-08,41.27,18.5,27.135,305.230225,32.07,32.07,30.02,31.93,61.619999
2012-02-09,41.529999,18.39423,26.865,306.036041,32.639999,32.639999,29.99,32.580002,61.959999
2012-02-10,41.450001,18.153847,26.875,303.25827,32.349998,32.349998,29.84,31.1,61.900002
2012-02-13,41.790001,18.336538,27.450001,306.406403,32.57,32.57,30.040001,31.49,61.790001
